# CVN-73 coupling register — the paths a hazard can travel, authored.
# from,to,code[,symmetric]   deck penetrations are derived by the door from deck order and frame overlap
03-10-1-Q,03-20-1-Q,shared_bulkhead,yes
03-96-1-Q,03-98-1-Q,shared_bulkhead,yes
03-166-1-L,03-168-3-Q,shared_bulkhead,yes
03-182-1-L,03-184-3-Q,shared_bulkhead,yes
03-214-1-L,03-222-1-Q,shared_bulkhead,yes
03-12-2-Q,03-22-2-Q,shared_bulkhead,yes
03-97-2-Q,03-102-2-Q,shared_bulkhead,yes
03-174-2-L,03-176-4-Q,shared_bulkhead,yes
03-190-2-L,03-196-4-L,shared_bulkhead,yes
03-196-4-L,03-206-2-L,shared_bulkhead,yes
03-112-0-C,03-128-0-C,shared_bulkhead,yes
03-128-0-C,03-140-0-C,shared_bulkhead,yes
03-140-0-C,03-148-0-C,shared_bulkhead,yes
03-148-0-C,03-156-0-T,shared_bulkhead,yes
02-8-0-Q,02-36-0-Q,shared_bulkhead,yes
02-60-0-C,02-72-0-C,shared_bulkhead,yes
02-86-1-Q,02-88-1-A,shared_bulkhead,yes
02-88-1-A,02-96-3-Q,shared_bulkhead,yes
02-96-3-Q,02-104-1-A,shared_bulkhead,yes
02-120-3-Q,02-121-1-A,shared_bulkhead,yes
02-136-1-Q,02-137-1-A,shared_bulkhead,yes
02-168-3-Q,02-169-1-A,shared_bulkhead,yes
02-184-1-A,02-186-1-Q,shared_bulkhead,yes
02-186-1-Q,02-192-3-Q,shared_bulkhead,yes
02-216-1-A,02-216-3-Q,shared_bulkhead,yes
02-104-4-Q,02-105-2-A,shared_bulkhead,yes
02-121-2-A,02-128-4-Q,shared_bulkhead,yes
02-128-4-Q,02-136-2-A,shared_bulkhead,yes
02-146-2-Q,02-152-4-Q,shared_bulkhead,yes
02-152-4-Q,02-153-2-A,shared_bulkhead,yes
02-169-2-A,02-176-4-Q,shared_bulkhead,yes
02-176-4-Q,02-184-2-A,shared_bulkhead,yes
02-200-4-Q,02-201-2-A,shared_bulkhead,yes
02-216-2-A,02-224-4-Q,shared_bulkhead,yes
01-60-3-A,01-64-1-Q,shared_bulkhead,yes
01-80-1-Q,01-80-3-A,shared_bulkhead,yes
01-96-1-Q,01-101-3-A,shared_bulkhead,yes
01-112-1-Q,01-121-3-A,shared_bulkhead,yes
01-140-1-Q,01-140-3-A,shared_bulkhead,yes
01-176-1-Q,01-181-3-A,shared_bulkhead,yes
01-208-1-Q,01-220-3-A,shared_bulkhead,yes
01-121-4-A,01-128-2-Q,shared_bulkhead,yes
01-128-2-Q,01-140-2-Q,shared_bulkhead,yes
01-140-2-Q,01-141-4-A,shared_bulkhead,yes
01-141-4-A,01-144-2-Q,shared_bulkhead,yes
01-160-2-Q,01-161-4-A,shared_bulkhead,yes
01-192-2-Q,01-201-4-A,shared_bulkhead,yes
1-60-0-Q,1-118-0-Q,shared_bulkhead,yes
1-118-0-Q,1-120-0-Q,shared_bulkhead,yes
1-120-0-Q,1-136-0-Q,shared_bulkhead,yes
1-178-0-Q,1-180-0-Q,shared_bulkhead,yes
1-180-0-Q,1-234-0-Q,shared_bulkhead,yes
1-65-1-Q,1-70-1-C,shared_bulkhead,yes
1-81-1-Q,1-86-1-T,shared_bulkhead,yes
1-86-1-T,1-96-1-Q,shared_bulkhead,yes
1-129-1-Q,1-130-1-C,shared_bulkhead,yes
1-130-1-C,1-136-1-C,shared_bulkhead,yes
1-136-1-C,1-136-1-T,shared_bulkhead,yes
1-136-1-T,1-144-1-Q,shared_bulkhead,yes
1-186-1-T,1-190-1-C,shared_bulkhead,yes
1-190-1-C,1-193-1-Q,shared_bulkhead,yes
1-144-2-Q,1-146-2-T,shared_bulkhead,yes
1-146-2-T,1-160-2-Q,shared_bulkhead,yes
2-140-1-L,2-154-1-L,shared_bulkhead,yes
2-154-1-L,2-160-1-Q,shared_bulkhead,yes
2-160-1-Q,2-162-1-Q,shared_bulkhead,yes
2-162-1-Q,2-166-1-L,shared_bulkhead,yes
